Retention Priority,Customer ID,Surname,Geography,Gender,Age,Tenure,Credit Score,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Churn Probability Percent,Risk Level,Predicted Churn,Actual Churn,Recommended Retention Action
13,15666548,Chung,Germany,Female,56,2,466,111920.13,3,1,0,197634.11,98.41,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
14,15608338,Chiemenam,Spain,Female,55,9,757,117294.12,4,1,0,94187.47,98.4,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
15,15752342,Bradley,Germany,Female,54,6,704,133656.91,3,1,0,145071.33,98.35,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
16,15765173,Lin,France,Female,60,3,350,0.0,1,0,0,113796.15,98.33,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
17,15641175,Munro,Germany,Male,63,3,701,120916.52,3,0,0,144727.45,98.33,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
18,15787189,Tai,Germany,Male,60,8,824,134250.17,3,0,0,153046.16,98.24,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
19,15710087,Nicholls,Germany,Female,54,3,705,125889.3,3,1,0,96013.5,98.19,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
20,15662291,Davidson,France,Female,55,8,534,116973.26,3,1,0,122066.5,98.05,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
21,15599329,Christopher,France,Female,49,7,697,195238.29,4,0,1,131083.56,98.01,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
22,15589017,Chiu,Germany,Male,55,4,547,111362.76,3,1,0,16922.28,98.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
23,15601594,Ifeanacho,France,Female,51,6,698,144237.91,4,1,0,157143.61,97.97,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
24,15803538,Douglas,Spain,Male,56,1,695,0.0,3,1,0,187734.49,97.92,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
25,15696989,Chukwueloka,Germany,Female,52,8,469,139493.25,3,0,0,150093.32,97.85,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
26,15609824,Fedorov,France,Female,41,7,794,176845.41,3,1,0,166526.26,97.77,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
27,15779947,Thomas,Spain,Female,28,6,363,146098.43,3,1,0,100615.14,97.77,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
28,15656148,Obinna,Germany,Female,29,4,376,115046.74,4,1,0,119346.88,97.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
29,15592773,Eberegbulam,Germany,Female,51,0,630,108449.23,3,0,0,88372.69,97.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
30,15704442,Fleming,France,Female,53,9,672,169406.33,4,1,1,147311.47,97.56,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
31,15740223,Walton,Germany,Male,51,1,479,107714.74,3,1,0,86128.21,97.56,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
32,15731815,Nepean,Spain,Male,63,4,529,96134.11,3,1,0,108732.96,97.53,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
33,15624820,Ross,Spain,Male,56,7,683,50911.21,3,0,0,97629.31,97.51,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
34,15623210,Smith,Germany,Female,55,8,484,149349.58,3,0,0,137519.92,97.45,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
35,15694376,Sullivan,Germany,Female,64,3,705,153469.26,3,0,0,146573.66,97.44,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
36,15670374,Wright,Germany,Female,49,1,819,120656.86,4,0,0,166164.3,97.42,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
37,15622033,Rapuluchukwu,Germany,Female,41,3,847,101543.51,4,1,0,16025.17,97.37,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
38,15668889,Galgano,Germany,Female,43,2,665,116322.27,4,1,0,35640.12,97.35,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
39,15723318,Mactier,France,Female,55,0,619,0.0,3,0,0,60810.64,97.31,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
40,15671591,Castiglione,Spain,Male,52,3,439,96196.24,4,1,0,198874.52,97.3,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
41,15791700,Ugochukwutubelum,Germany,Male,47,2,773,118079.47,4,1,1,143007.49,97.27,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
42,15750778,Ponomarev,France,Female,60,2,653,120731.39,4,1,1,138160.11,97.24,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
43,15616859,Bonwick,Germany,Female,43,2,602,113641.49,4,1,0,115116.35,97.2,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
44,15783615,Ramos,Germany,Male,50,3,630,129370.91,4,1,1,47775.34,97.17,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
45,15621550,Hung,Spain,Female,50,1,535,140292.58,3,0,0,69531.22,97.14,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
46,15808044,Ts'ui,France,Female,65,9,580,106804.26,3,1,0,107890.69,97.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
47,15701602,Ayers,Germany,Male,52,5,521,116497.31,3,0,0,53793.1,97.09,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
48,15576824,Kennedy,Germany,Female,44,3,564,111760.4,3,1,1,104722.47,96.95,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
49,15673591,Oluchukwu,France,Male,44,3,842,141252.18,4,0,1,128521.16,96.93,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
50,15610446,Chinedum,France,Female,51,4,714,88308.87,3,0,0,5862.53,96.88,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
51,15679249,Chou,Germany,Female,57,4,351,163146.46,1,1,0,169621.69,96.78,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
52,15663650,Russell,Germany,Male,52,10,698,107304.39,3,1,0,28806.32,96.74,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
53,15665283,Brookes,France,Female,57,7,610,72092.95,4,0,1,113228.82,96.74,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
54,15592583,Colman,France,Female,47,1,731,115414.19,3,0,0,191734.67,96.73,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
55,15775318,Lu,Spain,Female,51,3,590,154962.99,3,0,1,191932.27,96.71,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
56,15648681,Voronoff,France,Female,47,5,747,139914.6,4,0,1,129964.56,96.63,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
57,15724161,Sutton,France,Female,40,9,644,137285.26,4,1,0,77063.63,96.53,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
58,15736510,Loggia,Spain,Female,57,2,605,0.0,3,1,0,66652.75,96.45,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
59,15595324,Daniels,Germany,Female,39,5,579,117833.3,3,0,0,5831.0,96.45,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
60,15721426,Milne,Germany,Male,65,10,606,126306.64,3,0,0,7861.68,96.43,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
61,15718893,Pirozzi,Germany,Female,54,4,404,125456.07,1,1,0,83715.66,96.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
62,15727317,Brady,Germany,Female,49,1,533,102286.6,3,1,0,69409.37,96.36,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
63,15779176,Dike,Germany,Female,58,3,565,108888.24,3,0,1,135875.51,96.27,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
64,15656822,Day,Germany,Male,43,5,568,87612.64,4,1,1,107155.4,96.18,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
65,15746333,Blake,France,Female,57,3,562,0.0,3,1,0,6554.97,96.18,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
66,15647898,Russell,Spain,Female,50,5,610,130554.51,3,1,0,184758.17,96.15,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
67,15719508,Davis,Germany,Male,49,7,575,121205.15,4,1,1,168080.53,96.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
68,15804586,Lin,France,Female,46,6,376,0.0,1,1,0,157333.69,96.09,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
69,15764866,Synnot,Germany,Female,43,3,539,116220.5,3,1,0,55803.96,96.03,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
70,15655082,Pape,France,Female,48,4,607,112070.86,3,1,0,173568.3,95.97,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
71,15610383,Dumetolisa,France,Female,46,1,628,46870.43,4,1,0,31272.14,95.95,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
72,15808674,Ejikemeifeuwa,Germany,Female,45,6,616,128352.59,3,1,1,144000.59,95.92,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
73,15799966,Chigolum,Germany,Female,59,9,792,101609.77,1,0,0,161479.19,95.92,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
74,15791780,Ts'ao,Germany,Female,48,10,706,104478.12,3,0,1,158248.71,95.89,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
75,15724076,Christie,Spain,Female,57,5,815,0.0,3,0,0,38941.44,95.89,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
76,15625761,Maclean,Germany,Male,41,8,632,127205.32,4,1,0,93874.87,95.84,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
77,15641675,Kirillova,France,Female,49,2,611,88915.37,3,0,0,161435.02,95.74,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
78,15651052,McMasters,Germany,Male,46,2,399,127655.22,1,1,0,139994.68,95.74,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
79,15593782,Brookes,Germany,Female,38,5,816,130878.75,3,1,0,71905.77,95.71,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
80,15679770,Smith,France,Female,61,3,611,131583.59,4,0,1,66238.23,95.69,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
81,15737452,Romeo,Germany,Male,58,1,653,132602.88,1,1,0,5097.67,95.68,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
82,15786196,Han,France,Female,44,3,555,105770.7,3,1,0,60533.96,95.56,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
83,15621423,Lavrentyev,France,Female,42,7,736,117280.23,3,0,0,41921.06,95.51,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
84,15602797,Okwudilichukwu,Spain,Female,49,5,645,110132.55,3,0,1,187689.91,95.48,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
85,15778975,Nnonso,Germany,Female,70,1,850,96947.58,3,1,0,62282.99,95.44,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
86,15668248,Quinn,Germany,Female,62,7,528,133201.17,1,0,0,168507.68,95.43,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
87,15751158,Mashman,France,Female,42,4,571,108825.34,3,1,0,55558.51,95.4,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
88,15654562,Ma,Spain,Female,45,5,850,174088.3,4,1,0,5669.31,95.39,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
89,15747757,Trevascus,Germany,Female,58,8,600,118723.11,1,0,0,6209.51,95.39,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
90,15651674,Billson,Spain,Female,54,2,438,0.0,1,0,0,191763.07,95.38,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
91,15664754,Steele,Germany,Male,39,9,640,131607.28,4,0,1,6981.43,95.37,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
92,15787907,Wang,Germany,Female,42,5,719,137227.04,3,1,0,149097.38,95.31,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
93,15624180,Genovesi,Germany,Female,37,10,584,134171.8,4,1,1,70927.11,95.29,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
94,15796764,Bruno,Germany,Female,56,3,684,127585.98,3,1,1,80593.49,95.28,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
95,15689341,Gibbs,France,Female,50,10,655,0.0,4,1,0,179267.94,95.27,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
96,15603554,Berkeley,France,Female,45,0,513,164649.52,3,1,0,49915.52,95.26,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
97,15688849,Martin,France,Male,48,1,609,108019.27,3,1,1,184524.65,95.24,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
98,15787255,Manfrin,Germany,Female,55,2,650,140891.46,3,1,1,179834.45,95.14,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
99,15686835,Crawford,Germany,Female,57,9,738,148384.64,1,0,0,155047.11,95.13,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
100,15619304,Onio,France,Female,42,8,502,159660.8,3,1,0,113931.57,95.11,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
101,15752294,Long,France,Female,38,9,582,135979.01,4,1,1,76582.95,95.09,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
102,15766355,Lettiere,Germany,Male,49,0,550,108806.96,3,1,0,61446.92,95.05,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
103,15701439,Fanucci,Spain,Female,50,1,698,0.0,4,1,0,88566.9,95.03,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
104,15646720,Tsui,Spain,Female,55,7,628,0.0,3,1,0,85890.75,95.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
105,15759436,Aksenov,France,Female,50,2,758,95813.76,3,1,1,67944.09,95.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
106,15638610,Kennedy,Germany,Female,65,5,635,117325.54,1,1,0,155799.86,95.0,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
107,15634551,Williamson,Germany,Male,46,3,727,115248.11,4,1,0,130752.01,94.99,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
108,15611767,Mai,Germany,Female,52,0,624,133723.43,1,0,0,4859.59,94.98,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
109,15622478,Greaves,France,Female,40,7,698,105061.74,3,1,0,107815.31,94.98,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
110,15633194,Osborne,France,Female,41,10,771,108309.0,4,1,1,137510.41,94.97,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
111,15810418,T'ang,Germany,Female,60,3,756,115924.89,1,1,0,93524.19,94.95,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
112,15712813,Nevzorova,Germany,Male,43,3,520,150805.17,3,0,1,25333.03,94.94,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
113,15609998,Okwudilichukwu,Germany,Female,59,5,700,137648.41,1,1,0,142977.05,94.87,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
114,15596013,Akhtar,Germany,Female,58,1,694,143212.22,1,0,0,102628.56,94.86,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
115,15677336,Aitken,Germany,Male,57,1,557,120043.13,1,1,0,132370.75,94.85,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
116,15753332,Loftus,Germany,Male,48,8,401,128140.17,1,1,0,175753.55,94.84,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
117,15602735,Kuo,Germany,Male,45,6,692,152296.83,4,0,1,108040.86,94.82,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
118,15659931,Ibezimako,Germany,Female,55,1,637,123378.2,1,1,0,81431.99,94.76,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
119,15601410,Tien,Spain,Female,46,1,744,0.0,3,1,1,177431.59,94.63,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
120,15612525,Preston,France,Female,57,1,499,0.0,1,0,0,131372.38,94.62,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
121,15730287,Ugonna,France,Male,41,8,679,147726.98,3,1,0,172749.4,94.59,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
122,15707637,Zikoranachukwudimma,France,Female,56,1,765,0.0,1,1,0,13228.93,94.56,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
123,15806688,Manfrin,Spain,Female,56,8,726,123110.9,3,0,1,130113.78,94.56,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
124,15609070,Findlay,Germany,Male,45,7,515,120961.5,3,1,1,39288.11,94.48,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
125,15712551,Shen,Germany,Female,58,7,622,116922.25,1,1,0,120415.61,94.47,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
126,15712403,McMillan,France,Female,61,1,589,0.0,1,1,0,61108.56,94.42,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
127,15749583,Bellucci,Germany,Female,38,2,686,93569.86,3,0,0,10137.34,94.37,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
128,15797960,Skinner,Germany,Female,59,0,806,135296.33,1,1,0,182822.5,94.34,High Risk,1,0,Priority re-engagement contact and needs-based second-product review
129,15672056,Kenenna,Germany,Male,43,2,710,140080.32,3,1,1,157908.19,94.33,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
130,15771728,Mackenzie,Germany,Male,41,7,641,104405.54,3,1,0,17384.21,94.32,High Risk,1,0,"Review product suitability, fees, service quality, and product complexity"
131,15617482,Milanesi,Germany,Female,52,1,489,131441.51,1,1,0,37240.11,94.3,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
132,15750156,Yu,Germany,Male,59,2,662,104568.41,1,1,0,8059.44,94.29,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
133,15768471,Wagner,Germany,Female,54,6,554,108755.0,1,1,0,40914.32,94.27,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
134,15776233,Kruglova,Germany,Female,61,8,758,125397.21,1,1,0,182184.09,94.22,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
135,15792473,Reilly,Germany,Female,50,5,598,88379.81,3,0,1,64157.24,94.21,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
136,15720559,Heath,Germany,Female,61,5,487,110368.03,1,0,0,11384.45,94.21,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
137,15651883,Genovesi,Germany,Female,55,6,794,115796.7,1,1,0,160526.36,94.21,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
138,15792305,Mountgarrett,Germany,Male,46,6,762,123571.77,3,0,1,57014.17,94.2,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
139,15666297,Abramova,Spain,Female,53,3,706,0.0,3,0,0,88479.02,94.14,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
140,15734711,Loggia,France,Male,42,7,373,0.0,1,1,0,77786.37,94.12,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
141,15592925,Giordano,Spain,Male,42,3,711,177626.77,3,0,1,16392.72,94.12,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
142,15606386,Wang,Germany,Female,46,3,753,111512.75,3,1,0,159576.75,94.1,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
143,15794142,Ferreira,Germany,Female,62,5,564,114931.35,3,0,1,18260.98,94.07,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
144,15568819,Chiganu,Germany,Female,42,8,619,132796.04,3,1,1,191821.35,94.06,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
145,15669664,Thompson,Germany,Male,54,1,574,99774.5,1,0,0,4896.11,94.06,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
146,15583456,Gardiner,Germany,Male,45,10,745,117231.63,3,1,1,122381.02,94.05,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
147,15800061,Moretti,Spain,Female,45,3,495,89158.94,3,1,0,135169.76,94.02,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
148,15784761,Ballard,Spain,Female,46,7,554,87603.35,3,0,1,96929.24,94.02,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
149,15692750,McGregor,Germany,Female,45,7,629,129818.39,3,1,0,9217.55,94.01,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
150,15750335,Paterson,Germany,Male,43,0,850,108508.82,3,1,0,184044.8,94.0,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
151,15815316,Kennedy,France,Male,50,9,644,76817.0,4,1,0,196371.13,93.96,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
152,15588955,Mazzi,Germany,Female,43,5,581,93259.57,3,1,0,141035.65,93.96,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
153,15662098,Palmer,Spain,Male,41,3,650,128808.65,3,0,0,113677.53,93.87,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
154,15584037,Denisov,Germany,Male,58,5,727,106913.43,1,1,0,25881.0,93.86,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
155,15663410,Piccio,Spain,Male,51,5,771,135506.58,3,1,1,152479.64,93.86,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
156,15795759,Bergamaschi,Germany,Female,52,1,698,107906.75,1,1,0,168886.39,93.83,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
157,15653937,McIntyre,Germany,Female,53,1,638,123916.67,1,1,0,16657.68,93.82,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
158,15569249,Howarth,France,Female,55,6,576,44582.07,3,0,1,67539.85,93.77,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
159,15625092,Colombo,Germany,Female,57,3,502,101465.31,1,1,0,43568.31,93.68,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
160,15782688,Piccio,Germany,Male,56,0,625,148507.24,1,1,0,46824.08,93.64,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
161,15689886,Holden,Germany,Male,39,10,626,132287.92,3,1,1,51467.92,93.61,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
162,15743490,Zikoranachidimma,Germany,Female,56,9,795,94348.94,1,1,0,29239.29,93.59,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
163,15711843,Pisani,Germany,Male,40,1,613,147856.82,3,0,0,107961.11,93.55,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
164,15788776,Landor,Germany,Male,49,6,588,132623.76,3,1,0,36292.94,93.55,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
165,15813168,Maslova,Germany,Female,39,3,756,100717.85,3,1,1,73406.04,93.48,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
166,15805260,Wood,Germany,Female,56,2,705,143249.67,1,1,0,88428.41,93.45,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
167,15684801,Abbott,France,Male,47,1,689,93871.95,3,1,0,156878.42,93.44,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
168,15708867,Niu,Spain,Female,38,3,684,134168.5,3,1,0,3966.5,93.42,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
169,15681007,Yen,France,Female,35,2,850,128548.49,4,1,0,75478.95,93.37,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
170,15767474,Lorenzo,France,Female,57,9,481,0.0,3,1,1,169719.35,93.35,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
171,15755178,Ramos,France,Male,50,1,660,0.0,3,1,1,191849.15,93.34,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
172,15654733,Hsieh,Germany,Male,57,3,794,117056.46,1,1,0,93336.93,93.33,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
173,15612478,Somadina,France,Male,51,10,525,0.0,3,1,0,171045.35,93.31,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
174,15603135,Boni,Germany,Female,59,3,634,95727.05,1,0,0,97939.4,93.3,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
175,15595592,Lai,France,Female,59,2,708,0.0,1,1,0,179673.11,93.26,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
176,15727619,Lock,Germany,Female,46,9,753,113909.69,3,1,0,92320.37,93.25,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
177,15734610,Onio,France,Male,42,4,543,89838.71,3,1,0,85983.54,93.22,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
178,15686242,Otutodilichukwu,France,Female,57,4,771,0.0,1,0,0,85876.67,93.21,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
179,15811762,Pickering,Germany,Female,54,6,583,115988.86,1,1,0,57553.98,93.19,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
180,15753337,Yeates,France,Male,51,5,555,0.0,3,1,0,189122.89,93.18,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
181,15663164,Yudin,Germany,Male,49,7,663,116150.65,3,1,1,84358.71,93.16,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
182,15785367,McGuffog,France,Female,56,4,651,0.0,1,0,0,84383.22,93.08,High Risk,1,1,Priority re-engagement contact and needs-based second-product review
183,15793307,Calabresi,Spain,Female,41,4,724,142880.28,3,0,0,185541.2,93.04,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
184,15757535,Heap,Spain,Female,44,5,647,0.0,3,1,1,174205.22,92.98,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
185,15636977,Trevisan,Germany,Male,36,9,507,118214.32,3,1,0,119110.03,92.97,High Risk,1,1,"Review product suitability, fees, service quality, and product complexity"
