Year,Customer ID,Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number of Products,Has Credit Card,Is Active Member,Estimated Salary,Actual Churn,Churn Probability,Churn Probability Percent,Predicted Churn,Risk Level,Recommended Retention Action
2025,15765173,Lin,350,France,Female,60,3,0.0,1,0,0,113796.15,1,0.9833473897604703,98.33,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15641175,Munro,701,Germany,Male,63,3,120916.52,3,0,0,144727.45,1,0.9833293098060125,98.33,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15787189,Tai,824,Germany,Male,60,8,134250.17,3,0,0,153046.16,1,0.9824326308144367,98.24,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15710087,Nicholls,705,Germany,Female,54,3,125889.3,3,1,0,96013.5,1,0.9818586591219481,98.19,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15662291,Davidson,534,France,Female,55,8,116973.26,3,1,0,122066.5,1,0.9804837048918925,98.05,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15599329,Christopher,697,France,Female,49,7,195238.29,4,0,1,131083.56,1,0.9801193629423194,98.01,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15589017,Chiu,547,Germany,Male,55,4,111362.76,3,1,0,16922.28,1,0.979967287207582,98.0,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15601594,Ifeanacho,698,France,Female,51,6,144237.91,4,1,0,157143.61,1,0.9796548218120272,97.97,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15803538,Douglas,695,Spain,Male,56,1,0.0,3,1,0,187734.49,1,0.9792421945026158,97.92,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15696989,Chukwueloka,469,Germany,Female,52,8,139493.25,3,0,0,150093.32,1,0.9784547557630009,97.85,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15609824,Fedorov,794,France,Female,41,7,176845.41,3,1,0,166526.26,1,0.9777495821016409,97.77,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15779947,Thomas,363,Spain,Female,28,6,146098.43,3,1,0,100615.14,1,0.9776838237278559,97.77,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15656148,Obinna,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9768959918475433,97.69,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15592773,Eberegbulam,630,Germany,Female,51,0,108449.23,3,0,0,88372.69,1,0.9768698110208799,97.69,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15704442,Fleming,672,France,Female,53,9,169406.33,4,1,1,147311.47,1,0.9756260423675095,97.56,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15740223,Walton,479,Germany,Male,51,1,107714.74,3,1,0,86128.21,1,0.9755655962629597,97.56,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15731815,Nepean,529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,0.9752597074857415,97.53,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15624820,Ross,683,Spain,Male,56,7,50911.21,3,0,0,97629.31,1,0.9750822356415206,97.51,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15623210,Smith,484,Germany,Female,55,8,149349.58,3,0,0,137519.92,1,0.9745047338449438,97.45,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15694376,Sullivan,705,Germany,Female,64,3,153469.26,3,0,0,146573.66,1,0.9744382543917262,97.44,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15670374,Wright,819,Germany,Female,49,1,120656.86,4,0,0,166164.3,1,0.9742165234065978,97.42,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15622033,Rapuluchukwu,847,Germany,Female,41,3,101543.51,4,1,0,16025.17,1,0.9737357183465973,97.37,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15668889,Galgano,665,Germany,Female,43,2,116322.27,4,1,0,35640.12,1,0.9735453818760819,97.35,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15723318,Mactier,619,France,Female,55,0,0.0,3,0,0,60810.64,1,0.9730852321485784,97.31,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15671591,Castiglione,439,Spain,Male,52,3,96196.24,4,1,0,198874.52,1,0.9730479689777546,97.3,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15791700,Ugochukwutubelum,773,Germany,Male,47,2,118079.47,4,1,1,143007.49,1,0.9726903305242683,97.27,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15750778,Ponomarev,653,France,Female,60,2,120731.39,4,1,1,138160.11,1,0.9724109907084401,97.24,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15616859,Bonwick,602,Germany,Female,43,2,113641.49,4,1,0,115116.35,1,0.9719679098742299,97.2,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15783615,Ramos,630,Germany,Male,50,3,129370.91,4,1,1,47775.34,1,0.9717061522461677,97.17,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15621550,Hung,535,Spain,Female,50,1,140292.58,3,0,0,69531.22,1,0.9714340599890431,97.14,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15808044,Ts'ui,580,France,Female,65,9,106804.26,3,1,0,107890.69,1,0.971010535925621,97.1,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15701602,Ayers,521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1,0.9708980932105854,97.09,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15576824,Kennedy,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1,0.9695156023576931,96.95,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15673591,Oluchukwu,842,France,Male,44,3,141252.18,4,0,1,128521.16,1,0.9692637163711265,96.93,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15610446,Chinedum,714,France,Female,51,4,88308.87,3,0,0,5862.53,1,0.9687982536860564,96.88,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15679249,Chou,351,Germany,Female,57,4,163146.46,1,1,0,169621.69,1,0.9678496048567561,96.78,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15663650,Russell,698,Germany,Male,52,10,107304.39,3,1,0,28806.32,1,0.9673952477494497,96.74,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15665283,Brookes,610,France,Female,57,7,72092.95,4,0,1,113228.82,1,0.9673565724791487,96.74,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15592583,Colman,731,France,Female,47,1,115414.19,3,0,0,191734.67,1,0.9673195401122774,96.73,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15775318,Lu,590,Spain,Female,51,3,154962.99,3,0,1,191932.27,1,0.9671347053192297,96.71,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15648681,Voronoff,747,France,Female,47,5,139914.6,4,0,1,129964.56,1,0.9662895166198507,96.63,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15724161,Sutton,644,France,Female,40,9,137285.26,4,1,0,77063.63,1,0.9652657234342938,96.53,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15736510,Loggia,605,Spain,Female,57,2,0.0,3,1,0,66652.75,1,0.9645129448573637,96.45,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15595324,Daniels,579,Germany,Female,39,5,117833.3,3,0,0,5831.0,1,0.9644958523086767,96.45,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15721426,Milne,606,Germany,Male,65,10,126306.64,3,0,0,7861.68,1,0.964344319691337,96.43,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15718893,Pirozzi,404,Germany,Female,54,4,125456.07,1,1,0,83715.66,1,0.963794810046739,96.38,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15727317,Brady,533,Germany,Female,49,1,102286.6,3,1,0,69409.37,1,0.9636083153842273,96.36,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15779176,Dike,565,Germany,Female,58,3,108888.24,3,0,1,135875.51,1,0.9627496026671224,96.27,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15656822,Day,568,Germany,Male,43,5,87612.64,4,1,1,107155.4,1,0.9618277164123394,96.18,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15746333,Blake,562,France,Female,57,3,0.0,3,1,0,6554.97,1,0.9617551649602772,96.18,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15647898,Russell,610,Spain,Female,50,5,130554.51,3,1,0,184758.17,1,0.9615075265023845,96.15,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15719508,Davis,575,Germany,Male,49,7,121205.15,4,1,1,168080.53,1,0.9609927987308687,96.1,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15804586,Lin,376,France,Female,46,6,0.0,1,1,0,157333.69,1,0.9609220440325701,96.09,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15764866,Synnot,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,1,0.9602683258841207,96.03,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15655082,Pape,607,France,Female,48,4,112070.86,3,1,0,173568.3,1,0.9596671602643362,95.97,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15610383,Dumetolisa,628,France,Female,46,1,46870.43,4,1,0,31272.14,1,0.9595295285028489,95.95,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15808674,Ejikemeifeuwa,616,Germany,Female,45,6,128352.59,3,1,1,144000.59,1,0.9592237934794626,95.92,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15799966,Chigolum,792,Germany,Female,59,9,101609.77,1,0,0,161479.19,1,0.9591975224861304,95.92,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15791780,Ts'ao,706,Germany,Female,48,10,104478.12,3,0,1,158248.71,1,0.958934194637187,95.89,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15724076,Christie,815,Spain,Female,57,5,0.0,3,0,0,38941.44,1,0.958863206818796,95.89,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15625761,Maclean,632,Germany,Male,41,8,127205.32,4,1,0,93874.87,1,0.9583778872382533,95.84,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15641675,Kirillova,611,France,Female,49,2,88915.37,3,0,0,161435.02,1,0.9573985876816682,95.74,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15651052,McMasters,399,Germany,Male,46,2,127655.22,1,1,0,139994.68,1,0.9573741706215473,95.74,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15593782,Brookes,816,Germany,Female,38,5,130878.75,3,1,0,71905.77,1,0.9570727458507923,95.71,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15679770,Smith,611,France,Female,61,3,131583.59,4,0,1,66238.23,1,0.9569087154849155,95.69,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0.9567682853639494,95.68,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15786196,Han,555,France,Female,44,3,105770.7,3,1,0,60533.96,1,0.9555722600371965,95.56,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15621423,Lavrentyev,736,France,Female,42,7,117280.23,3,0,0,41921.06,1,0.9550874210733622,95.51,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15602797,Okwudilichukwu,645,Spain,Female,49,5,110132.55,3,0,1,187689.91,1,0.9548346537378292,95.48,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15778975,Nnonso,850,Germany,Female,70,1,96947.58,3,1,0,62282.99,1,0.9543504243140314,95.44,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15668248,Quinn,528,Germany,Female,62,7,133201.17,1,0,0,168507.68,1,0.9543428438869567,95.43,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15751158,Mashman,571,France,Female,42,4,108825.34,3,1,0,55558.51,1,0.9539688121439867,95.4,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15654562,Ma,850,Spain,Female,45,5,174088.3,4,1,0,5669.31,1,0.9539434280365556,95.39,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15747757,Trevascus,600,Germany,Female,58,8,118723.11,1,0,0,6209.51,1,0.9539190528876925,95.39,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15651674,Billson,438,Spain,Female,54,2,0.0,1,0,0,191763.07,1,0.9537882810388271,95.38,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15664754,Steele,640,Germany,Male,39,9,131607.28,4,0,1,6981.43,1,0.953746427544367,95.37,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15787907,Wang,719,Germany,Female,42,5,137227.04,3,1,0,149097.38,1,0.9530896259342805,95.31,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15624180,Genovesi,584,Germany,Female,37,10,134171.8,4,1,1,70927.11,1,0.9528609942978905,95.29,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15796764,Bruno,684,Germany,Female,56,3,127585.98,3,1,1,80593.49,1,0.9528384544015744,95.28,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15689341,Gibbs,655,France,Female,50,10,0.0,4,1,0,179267.94,1,0.9526884159513381,95.27,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15603554,Berkeley,513,France,Female,45,0,164649.52,3,1,0,49915.52,1,0.9526423180091269,95.26,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15688849,Martin,609,France,Male,48,1,108019.27,3,1,1,184524.65,1,0.952410169192599,95.24,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15787255,Manfrin,650,Germany,Female,55,2,140891.46,3,1,1,179834.45,1,0.9514258574055144,95.14,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15686835,Crawford,738,Germany,Female,57,9,148384.64,1,0,0,155047.11,1,0.9512607206251317,95.13,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15619304,Onio,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0.9510996214050701,95.11,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15752294,Long,582,France,Female,38,9,135979.01,4,1,1,76582.95,1,0.9509257410508622,95.09,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15766355,Lettiere,550,Germany,Male,49,0,108806.96,3,1,0,61446.92,1,0.950497631410185,95.05,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15701439,Fanucci,698,Spain,Female,50,1,0.0,4,1,0,88566.9,1,0.9502982534055869,95.03,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15646720,Tsui,628,Spain,Female,55,7,0.0,3,1,0,85890.75,1,0.9500229805629034,95.0,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15759436,Aksenov,758,France,Female,50,2,95813.76,3,1,1,67944.09,1,0.950007117034117,95.0,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15638610,Kennedy,635,Germany,Female,65,5,117325.54,1,1,0,155799.86,1,0.949972103637997,95.0,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15634551,Williamson,727,Germany,Male,46,3,115248.11,4,1,0,130752.01,1,0.9498639152541183,94.99,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15611767,Mai,624,Germany,Female,52,0,133723.43,1,0,0,4859.59,1,0.9498295358281414,94.98,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15622478,Greaves,698,France,Female,40,7,105061.74,3,1,0,107815.31,1,0.9497685670340328,94.98,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15633194,Osborne,771,France,Female,41,10,108309.0,4,1,1,137510.41,1,0.949664868432232,94.97,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,1,0.949505853079516,94.95,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15712813,Nevzorova,520,Germany,Male,43,3,150805.17,3,0,1,25333.03,1,0.9494001538625473,94.94,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15609998,Okwudilichukwu,700,Germany,Female,59,5,137648.41,1,1,0,142977.05,1,0.9486850307872745,94.87,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15596013,Akhtar,694,Germany,Female,58,1,143212.22,1,0,0,102628.56,1,0.9485896909096194,94.86,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15677336,Aitken,557,Germany,Male,57,1,120043.13,1,1,0,132370.75,1,0.9484767849914111,94.85,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15753332,Loftus,401,Germany,Male,48,8,128140.17,1,1,0,175753.55,1,0.9483834851754434,94.84,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15602735,Kuo,692,Germany,Male,45,6,152296.83,4,0,1,108040.86,1,0.948194895198703,94.82,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15659931,Ibezimako,637,Germany,Female,55,1,123378.2,1,1,0,81431.99,1,0.9475720449212415,94.76,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15601410,Tien,744,Spain,Female,46,1,0.0,3,1,1,177431.59,1,0.9462684532398994,94.63,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15612525,Preston,499,France,Female,57,1,0.0,1,0,0,131372.38,1,0.9461847855260077,94.62,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15730287,Ugonna,679,France,Male,41,8,147726.98,3,1,0,172749.4,1,0.9459432531845668,94.59,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15707637,Zikoranachukwudimma,765,France,Female,56,1,0.0,1,1,0,13228.93,1,0.9456452912260017,94.56,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15806688,Manfrin,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1,0.9455955713477416,94.56,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15609070,Findlay,515,Germany,Male,45,7,120961.5,3,1,1,39288.11,1,0.9447702857010447,94.48,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15712551,Shen,622,Germany,Female,58,7,116922.25,1,1,0,120415.61,1,0.9446956868563569,94.47,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15712403,McMillan,589,France,Female,61,1,0.0,1,1,0,61108.56,1,0.9441812265836004,94.42,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15749583,Bellucci,686,Germany,Female,38,2,93569.86,3,0,0,10137.34,1,0.9437309397159394,94.37,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15797960,Skinner,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,0,0.9434231371470558,94.34,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15672056,Kenenna,710,Germany,Male,43,2,140080.32,3,1,1,157908.19,1,0.9432761759821864,94.33,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15771728,Mackenzie,641,Germany,Male,41,7,104405.54,3,1,0,17384.21,0,0.9431888306443014,94.32,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15617482,Milanesi,489,Germany,Female,52,1,131441.51,1,1,0,37240.11,1,0.9429557175023539,94.3,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15750156,Yu,662,Germany,Male,59,2,104568.41,1,1,0,8059.44,1,0.9428689399529508,94.29,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15768471,Wagner,554,Germany,Female,54,6,108755.0,1,1,0,40914.32,1,0.9427042018147993,94.27,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15776233,Kruglova,758,Germany,Female,61,8,125397.21,1,1,0,182184.09,1,0.9421937092529235,94.22,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15792473,Reilly,598,Germany,Female,50,5,88379.81,3,0,1,64157.24,1,0.9421340991683891,94.21,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15720559,Heath,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,1,0.9420962980648574,94.21,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15651883,Genovesi,794,Germany,Female,55,6,115796.7,1,1,0,160526.36,1,0.9420829322286245,94.21,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15792305,Mountgarrett,762,Germany,Male,46,6,123571.77,3,0,1,57014.17,1,0.9419765925504444,94.2,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15666297,Abramova,706,Spain,Female,53,3,0.0,3,0,0,88479.02,1,0.9413919835763558,94.14,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15734711,Loggia,373,France,Male,42,7,0.0,1,1,0,77786.37,1,0.9412125770699439,94.12,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15592925,Giordano,711,Spain,Male,42,3,177626.77,3,0,1,16392.72,1,0.9411868625406004,94.12,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15606386,Wang,753,Germany,Female,46,3,111512.75,3,1,0,159576.75,1,0.9410193263483203,94.1,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15794142,Ferreira,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1,0.9406833929851836,94.07,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15568819,Chiganu,619,Germany,Female,42,8,132796.04,3,1,1,191821.35,1,0.9406484950998575,94.06,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15669664,Thompson,574,Germany,Male,54,1,99774.5,1,0,0,4896.11,1,0.9406139685575519,94.06,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15583456,Gardiner,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,0.9405281062540644,94.05,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15800061,Moretti,495,Spain,Female,45,3,89158.94,3,1,0,135169.76,1,0.9402350627083782,94.02,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15784761,Ballard,554,Spain,Female,46,7,87603.35,3,0,1,96929.24,1,0.9402319929160361,94.02,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15692750,McGregor,629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,0.9401110245990782,94.01,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15750335,Paterson,850,Germany,Male,43,0,108508.82,3,1,0,184044.8,1,0.9400003060656593,94.0,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15815316,Kennedy,644,France,Male,50,9,76817.0,4,1,0,196371.13,1,0.9396125704474421,93.96,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15588955,Mazzi,581,Germany,Female,43,5,93259.57,3,1,0,141035.65,1,0.9395809156121517,93.96,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15662098,Palmer,650,Spain,Male,41,3,128808.65,3,0,0,113677.53,1,0.9386657726034555,93.87,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15584037,Denisov,727,Germany,Male,58,5,106913.43,1,1,0,25881.0,1,0.9386331526685407,93.86,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15663410,Piccio,771,Spain,Male,51,5,135506.58,3,1,1,152479.64,1,0.9385843370077415,93.86,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15795759,Bergamaschi,698,Germany,Female,52,1,107906.75,1,1,0,168886.39,1,0.9383285200564657,93.83,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15653937,McIntyre,638,Germany,Female,53,1,123916.67,1,1,0,16657.68,1,0.9381760763903068,93.82,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15569249,Howarth,576,France,Female,55,6,44582.07,3,0,1,67539.85,1,0.937689372878307,93.77,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1,0.9367701700336216,93.68,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,0.9364193511484007,93.64,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15689886,Holden,626,Germany,Male,39,10,132287.92,3,1,1,51467.92,1,0.9361270798897552,93.61,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
2025,15743490,Zikoranachidimma,795,Germany,Female,56,9,94348.94,1,1,0,29239.29,1,0.9359102112787453,93.59,1,High Risk,Priority re-engagement contact and needs-based second-product review
2025,15711843,Pisani,613,Germany,Male,40,1,147856.82,3,0,0,107961.11,1,0.9355070702425559,93.55,1,High Risk,"Review product suitability, fees, service quality, and product complexity"
